"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.856814917E0,-8.262817383E-2,7.484436035E-2,9.797426147E0
2.866800917E0,-6.496490479E-2,8.158035278E-2,9.783205719E0
2.876786917E0,-6.571334839E-2,7.843688965E-2,9.784552917E0
2.886772917E0,-7.723937988E-2,7.364685059E-2,9.786349182E0
2.896758917E0,-7.723937988E-2,7.903564453E-2,9.786199493E0
2.906744917E0,-7.828720093E-2,6.616241455E-2,9.791887665E0
2.916730917E0,-8.068222046E-2,8.337661743E-2,9.786199493E0
2.926716917E0,-8.427474976E-2,8.502319336E-2,9.786947937E0
2.936702917E0,-7.334747314E-2,7.229965210E-2,9.803264008E0
2.946688917E0,-6.511459351E-2,7.364685059E-2,9.790540466E0
2.956674917E0,-7.289840698E-2,7.424560547E-2,9.793234863E0
2.966660917E0,-8.113128662E-2,8.442443848E-2,9.803413696E0
2.976646917E0,-8.113128662E-2,7.439529419E-2,9.784552917E0
2.986632917E0,-7.334747314E-2,7.005432129E-2,9.790989532E0
2.996618917E0,-8.532257080E-2,8.652008057E-2,9.787995758E0
3.006605917E0,-7.065307617E-2,8.442443848E-2,9.784403229E0
3.016591917E0,-6.421646118E-2,8.801696777E-2,9.794132996E0
3.026577917E0,-7.903564453E-2,8.876541138E-2,9.787247314E0
3.036563917E0,-8.068222046E-2,7.888595581E-2,9.791588287E0
3.046549917E0,-7.050338745E-2,7.244934082E-2,9.798623657E0
3.056535917E0,-6.676116943E-2,8.831634521E-2,9.799222412E0
3.066521917E0,-7.364685059E-2,7.394622803E-2,9.786498871E0
3.076507917E0,-6.960525513E-2,7.963439941E-2,9.794282684E0
3.086493917E0,-7.873626709E-2,6.002517700E-2,9.805209961E0
3.096479917E0,-9.295669556E-2,7.828720093E-2,9.801318054E0
3.106465917E0,-7.574249268E-2,8.951385498E-2,9.793085175E0
3.116451917E0,-7.454498291E-2,7.469467163E-2,9.793234863E0
3.126437917E0,-8.292755127E-2,8.158035278E-2,9.803264008E0
3.136423917E0,-6.960525513E-2,6.616241455E-2,9.792785797E0
3.146410917E0,-7.484436035E-2,7.125183105E-2,9.796977081E0
3.156396917E0,-5.373825073E-2,6.541397095E-2,9.793534241E0
3.166382917E0,-6.810836792E-2,7.649093628E-2,9.790091400E0
3.176368917E0,-7.035369873E-2,8.427474976E-2,9.799970856E0
3.186354917E0,-7.858657837E-2,6.810836792E-2,9.811496887E0
3.196340917E0,-7.095245361E-2,7.349716187E-2,9.804012451E0
3.206326917E0,-7.080276489E-2,8.412506104E-2,9.798473969E0
3.216312917E0,-7.110214233E-2,8.038284302E-2,9.812694397E0
3.226298917E0,-8.502319336E-2,7.888595581E-2,9.791139221E0
3.236284917E0,-7.783813477E-2,8.068222046E-2,9.799222412E0
3.246270917E0,-6.855743408E-2,7.918533325E-2,9.793833618E0
3.256256917E0,-6.750961304E-2,7.723937988E-2,9.795929260E0
3.266242917E0,-8.367599487E-2,8.322692871E-2,9.808503113E0
3.276228917E0,-7.454498291E-2,7.529342651E-2,9.795779572E0
3.286214917E0,-7.050338745E-2,8.008346558E-2,9.795929260E0
3.296201917E0,-7.768844604E-2,9.160949707E-2,9.803713074E0
3.306187917E0,-7.289840698E-2,7.948471069E-2,9.785750427E0
3.316173917E0,-7.185058594E-2,7.304809570E-2,9.790540466E0
3.326159917E0,-6.750961304E-2,7.469467163E-2,9.783505096E0
3.336145917E0,-5.897735596E-2,7.409591675E-2,9.784103851E0
3.346131917E0,-7.379653931E-2,7.679031372E-2,9.788145447E0
3.356117917E0,-7.873626709E-2,7.334747314E-2,9.791588287E0
3.366103917E0,-7.185058594E-2,7.439529419E-2,9.811646576E0
3.376089917E0,-7.873626709E-2,7.424560547E-2,9.789792023E0
3.386075917E0,-7.589218140E-2,7.244934082E-2,9.808802490E0
3.396061917E0,-5.418731689E-2,7.349716187E-2,9.795629883E0
3.406047917E0,-7.589218140E-2,7.095245361E-2,9.796677704E0
3.416033917E0,-7.274871826E-2,7.888595581E-2,9.788893890E0
3.426019917E0,-7.214996338E-2,8.187973022E-2,9.799671478E0
3.436005917E0,-7.140151978E-2,8.173004150E-2,9.799222412E0
3.445991917E0,-6.915618896E-2,9.011260986E-2,9.798174591E0
3.455978917E0,-7.289840698E-2,7.155120850E-2,9.781259766E0
3.465964917E0,-7.544311523E-2,8.113128662E-2,9.782756653E0
3.475950917E0,-8.262817383E-2,7.903564453E-2,9.802365875E0
3.485936917E0,-8.038284302E-2,7.544311523E-2,9.801467743E0
3.495922917E0,-7.469467163E-2,7.948471069E-2,9.790839844E0
3.505908917E0,-7.544311523E-2,7.783813477E-2,9.790989532E0
3.515894917E0,-7.334747314E-2,8.382568359E-2,9.806407471E0
3.525880917E0,-8.322692871E-2,7.274871826E-2,9.791288910E0
3.535866917E0,-7.544311523E-2,7.394622803E-2,9.790989532E0
3.545852917E0,-7.229965210E-2,8.277786255E-2,9.793833618E0
3.555838917E0,-6.840774536E-2,7.888595581E-2,9.798923035E0
3.565824917E0,-8.607101440E-2,8.936416626E-2,9.796528015E0
3.575810917E0,-8.158035278E-2,7.544311523E-2,9.797875214E0
3.585796917E0,-7.454498291E-2,8.457412720E-2,9.787846069E0
3.595782917E0,-7.454498291E-2,8.412506104E-2,9.796528015E0
3.605769917E0,-7.948471069E-2,8.232879639E-2,9.794432373E0
3.615755917E0,-8.307723999E-2,8.217910767E-2,9.792336731E0
3.625741917E0,-7.813751221E-2,7.768844604E-2,9.784852295E0
3.635727917E0,-8.547225952E-2,6.960525513E-2,9.793833618E0
3.645713917E0,-6.526428223E-2,8.247848511E-2,9.786947937E0
3.655699917E0,-7.274871826E-2,7.065307617E-2,9.796827393E0
3.665685917E0,-8.143066406E-2,7.274871826E-2,9.788295135E0
3.675671917E0,-7.379653931E-2,7.559280396E-2,9.796078949E0
3.685657917E0,-7.649093628E-2,8.053253174E-2,9.798623657E0
3.695643917E0,-7.274871826E-2,7.080276489E-2,9.791588287E0
