"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
3.475950917E0,-7.639469476E-2,8.144846153E-2,9.809364408E0
3.485936917E0,-7.640830781E-2,8.147407050E-2,9.809363823E0
3.495922917E0,-7.649654595E-2,8.143625546E-2,9.809363823E0
3.505908917E0,-7.642991967E-2,8.150701591E-2,9.809363823E0
3.515894917E0,-7.638044218E-2,8.151094451E-2,9.809363823E0
3.525880917E0,-7.638046958E-2,8.146334452E-2,9.809364408E0
3.535866917E0,-7.642526017E-2,8.150492370E-2,9.809363823E0
3.545852917E0,-7.646036174E-2,8.160302902E-2,9.809362653E0
3.555838917E0,-7.643586739E-2,8.154723379E-2,9.809363238E0
3.565824917E0,-7.646396143E-2,8.156426380E-2,9.809362653E0
3.575810917E0,-7.655337815E-2,8.155037667E-2,9.809362069E0
3.585796917E0,-7.653662679E-2,8.156137674E-2,9.809362069E0
3.595782917E0,-7.647895862E-2,8.154833928E-2,9.809362653E0
3.605769917E0,-7.647956162E-2,8.160407055E-2,9.809362653E0
3.615755917E0,-7.647048016E-2,8.157227632E-2,9.809362653E0
3.625741917E0,-7.647476051E-2,8.155740246E-2,9.809362653E0
3.635727917E0,-7.652944111E-2,8.154887832E-2,9.809362653E0
3.645713917E0,-7.652128241E-2,8.157701804E-2,9.809362069E0
3.655699917E0,-7.654375765E-2,8.160613535E-2,9.809362069E0
3.665685917E0,-7.648788020E-2,8.161519853E-2,9.809362069E0
3.675671917E0,-7.649004549E-2,8.162019608E-2,9.809362069E0
3.685657917E0,-7.663248915E-2,8.158848407E-2,9.809361484E0
3.695643917E0,-7.666005786E-2,8.152659494E-2,9.809361484E0
3.705629917E0,-7.666294492E-2,8.146930137E-2,9.809362069E0
3.715615917E0,-7.669128564E-2,8.135923667E-2,9.809362653E0
3.725601917E0,-7.666229624E-2,8.141942644E-2,9.809362653E0
3.735587917E0,-7.664473632E-2,8.142624211E-2,9.809362653E0
3.745573917E0,-7.663802573E-2,8.137656818E-2,9.809363238E0
3.755559917E0,-7.667206292E-2,8.144769408E-2,9.809362069E0
3.765546917E0,-7.669774499E-2,8.138073432E-2,9.809362653E0
3.775532917E0,-7.674291473E-2,8.133635944E-2,9.809362653E0
3.785518917E0,-7.674694383E-2,8.134129303E-2,9.809362653E0
3.795504917E0,-7.679871909E-2,8.127733910E-2,9.809362653E0
3.805490917E0,-7.684805498E-2,8.119389751E-2,9.809363238E0
3.815476958E0,-7.683824262E-2,8.115866804E-2,9.809363238E0
3.825462958E0,-7.672562890E-2,8.112218689E-2,9.809364408E0
3.835448958E0,-7.671902337E-2,8.116211241E-2,9.809364408E0
3.845434958E0,-7.672275097E-2,8.115014389E-2,9.809364408E0
